popSize ,eliteSize ,mutationRate ,generations ,finalDistance      ,finalStress        ,params
    200 ,       30 ,        0.01 ,        500 , 938.0503089673653 ,6467.000000000001  ,200_30_0.01_500
    200 ,       30 ,        0.02 ,        100 ,2335.507819781017  ,2994.6             ,200_30_0.02_100
    200 ,       30 ,        0.02 ,        200 ,1004.1942501529957 ,6228.200000000001  ,200_30_0.02_200
    200 ,       30 ,        0.02 ,        500 , 938.8942032794853 ,6809.0             ,200_30_0.02_500
    200 ,       30 ,        0.05 ,        100 ,1101.542077025415  ,4732.6             ,200_30_0.05_100
    200 ,       30 ,        0.05 ,        200 ,1149.3325659105224 ,4516.0             ,200_30_0.05_200
    200 ,       30 ,        0.05 ,        500 , 960.9470680029613 ,6134.6             ,200_30_0.05_500
    200 ,       30 ,        0.1  ,        100 ,1185.9940528737989 ,6279.4             ,200_30_0.1_100
    200 ,       30 ,        0.1  ,        200 ,1248.2520412964811 ,4612.8             ,200_30_0.1_200
    200 ,       30 ,        0.1  ,        500 ,1124.3931838360852 ,4332.0             ,200_30_0.1_500
    300 ,       10 ,        0.01 ,        100 ,2233.6267738688284 ,2776.6             ,300_10_0.01_100
    300 ,       10 ,        0.01 ,        200 , 969.9276064621987 ,5377.0             ,300_10_0.01_200
    300 ,       10 ,        0.01 ,        500 ,1552.133039833602  ,3195.3999999999996 ,300_10_0.01_500
    300 ,       10 ,        0.02 ,        100 ,2670.6256253427664 ,2799.0             ,300_10_0.02_100
    300 ,       10 ,        0.02 ,        200 , 974.5974184403492 ,6032.2             ,300_10_0.02_200
    300 ,       10 ,        0.02 ,        500 ,2501.787632994587  ,2685.4             ,300_10_0.02_500
    300 ,       10 ,        0.05 ,        100 ,1044.2435397308689 ,6816.400000000001  ,300_10_0.05_100
    300 ,       10 ,        0.05 ,        200 , 952.1508505641782 ,5857.8             ,300_10_0.05_200
    300 ,       10 ,        0.05 ,        500 ,1380.626208492908  ,3205.2             ,300_10_0.05_500
    300 ,       10 ,        0.1  ,        100 ,1476.8903413906678 ,3316.7999999999997 ,300_10_0.1_100
    300 ,       10 ,        0.1  ,        200 ,2655.327227914754  ,2776.6000000000004 ,300_10_0.1_200
    300 ,       10 ,        0.1  ,        500 ,1586.006824362528  ,3137.4000000000005 ,300_10_0.1_500
    300 ,       20 ,        0.01 ,        100 ,2467.1854007011734 ,2860.0             ,300_20_0.01_100
    300 ,       20 ,        0.01 ,        200 ,2477.0682998124303 ,2853.2             ,300_20_0.01_200
    300 ,       20 ,        0.01 ,        500 ,1303.361144259726  ,3359.9999999999995 ,300_20_0.01_500
    300 ,       20 ,        0.02 ,        100 ,1057.2448686245095 ,5370.2             ,300_20_0.02_100
    300 ,       20 ,        0.02 ,        200 ,1974.948067813054  ,2827.8             ,300_20_0.02_200
    300 ,       20 ,        0.02 ,        500 ,2295.6275791287876 ,2825.2             ,300_20_0.02_500
    300 ,       20 ,        0.05 ,        100 ,2100.54668919669   ,3048.0             ,300_20_0.05_100
    300 ,       20 ,        0.05 ,        200 , 928.3742020486931 ,6264.200000000001  ,300_20_0.05_200
    300 ,       20 ,        0.05 ,        500 ,2212.1483813112955 ,2747.7999999999997 ,300_20_0.05_500
